City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,Hlotse,-28.8718,28.045,81.14,13,0,13.58,LS,2022-09-24 10:4306
133,Statesville,35.7826,-80.8873,53.92,62,0,0.0,US,2022-09-24 10:4153
134,Keokuk,40.3973,-91.3849,52.32,100,20,0.0,US,2022-09-24 10:4406
135,Aranda De Duero,41.6704,-3.6892,63.72,51,49,11.68,ES,2022-09-24 10:4221
136,Palmer,42.1584,-72.3287,46.0,66,0,10.36,US,2022-09-24 10:4407
137,Leningradskiy,69.3833,178.4167,28.42,90,100,19.66,RU,2022-09-24 10:4407
138,Pevek,69.7008,170.3133,30.87,73,99,16.04,RU,2022-09-24 10:4408
139,Cabo San Lucas,22.8909,-109.9124,80.51,88,84,1.01,MX,2022-09-24 10:3934
140,Tupiza,-21.45,-65.7167,45.27,10,3,6.02,BO,2022-09-24 10:4409
141,Devonport,-41.1667,146.35,51.01,80,95,5.19,AU,2022-09-24 10:4409
142,Medea,36.2642,2.7539,79.29,25,51,10.38,DZ,2022-09-24 10:4410
143,Qiongshan,20.0058,110.3542,75.18,94,40,6.71,CN,2022-09-24 10:4410
144,Cedar City,37.6775,-113.0619,52.39,57,0,0.0,US,2022-09-24 10:4411
145,Taian,36.1853,117.12,62.78,43,100,4.29,CN,2022-09-24 10:4411
146,Bambous Virieux,-20.3428,57.7575,75.45,69,75,16.11,MU,2022-09-24 10:4412
147,Thouars,46.976,-0.2151,61.52,60,100,7.99,FR,2022-09-24 10:4412
148,Narrabri,-30.3167,149.7833,54.52,85,4,5.5,AU,2022-09-24 10:4412
149,Bonavista,48.6499,-53.1147,61.47,94,100,26.13,CA,2022-09-24 10:4413
150,Quatre Cocos,-20.2078,57.7625,75.31,75,20,17.56,MU,2022-09-24 10:4413
151,Bolshoy Lug,52.0779,104.0919,37.58,95,100,7.63,RU,2022-09-24 10:4414
152,Saskylakh,71.9167,114.0833,26.58,72,100,5.35,RU,2022-09-24 10:4414
153,Ancud,-41.8697,-73.8203,41.85,90,84,2.19,CL,2022-09-24 10:4415
154,Shache,38.4167,77.2406,82.31,19,99,7.52,CN,2022-09-24 10:4415
155,Bulgan,48.8125,103.5347,54.55,35,83,8.7,MN,2022-09-24 10:4415
156,Hambantota,6.1241,81.1185,95.34,43,20,14.97,LK,2022-09-24 10:4416
157,Bethel,41.3712,-73.414,50.36,72,0,5.75,US,2022-09-24 10:4416
158,Progreso,21.2833,-89.6667,78.12,90,44,5.64,MX,2022-09-24 10:4417
159,Dudinka,69.4058,86.1778,31.62,79,99,16.93,RU,2022-09-24 10:4417
160,Chalmette,29.9427,-89.9634,78.8,77,0,10.36,US,2022-09-24 10:4418
161,Achacachi,-16.05,-68.6833,44.15,70,98,3.56,BO,2022-09-24 10:4418
162,Esperance,-33.8667,121.9,55.63,59,97,13.69,AU,2022-09-24 10:4216
163,Palafrugell,41.9174,3.1631,74.35,49,100,10.0,ES,2022-09-24 10:4419
164,Micheweni,-4.9667,39.8333,82.04,67,39,10.69,TZ,2022-09-24 10:4419
