City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
130,Sibolga,ID,1.7427,98.7792,75.24,96,100,1.97,overcast clouds
131,Mahajanga,MG,-15.7167,46.3167,68.02,68,0,2.3,clear sky
132,Tyret Pervaya,RU,53.6703,102.3106,38.44,94,99,4.34,overcast clouds
133,Kloulklubed,PW,7.0419,134.2556,82.76,76,8,12.48,clear sky
134,Pisco,PE,-13.7,-76.2167,66.25,63,0,12.66,clear sky
135,Wanlaweyn,SO,2.6185,44.8938,75.52,83,97,13.11,overcast clouds
136,Khatanga,RU,71.9667,102.5,27.7,98,100,4.38,overcast clouds
137,Castro,BR,-24.7911,-50.0119,51.4,95,100,7.99,overcast clouds
138,Bajil,YE,15.0584,43.2851,87.06,47,58,2.3,broken clouds
139,Aasiaat,GL,68.7098,-52.8699,33.69,97,100,5.75,overcast clouds
140,Ostrovnoy,RU,68.0531,39.5131,34.95,70,93,10.2,overcast clouds
141,Palana,RU,59.1167,159.9667,38.84,95,100,11.32,moderate rain
142,Ola,RU,59.5833,151.2833,37.15,81,89,9.01,overcast clouds
143,Visnes,NO,59.3556,5.2242,49.21,87,28,9.22,scattered clouds
144,Manchester,GB,53.4809,-2.2374,50.32,90,15,3.44,few clouds
145,Huarmey,PE,-10.0681,-78.1522,65.12,75,18,11.68,few clouds
146,Tekeli,KZ,44.83,78.8239,41.67,47,100,0.6,overcast clouds
147,Esperance,AU,-33.8667,121.9,50.68,86,0,10.85,clear sky
148,Tautira,PF,-17.7333,-149.15,77.5,75,0,16.8,clear sky
149,Torbay,CA,47.6666,-52.7314,57.97,93,75,6.91,broken clouds
150,Tual,ID,-5.6667,132.75,82.47,76,100,9.69,overcast clouds
151,Dauriya,RU,49.9333,116.8667,38.23,92,100,8.25,overcast clouds
152,Verin,ES,41.9415,-7.4381,50.56,91,1,5.93,clear sky
153,Mugumu,TZ,-1.85,34.7,65.46,72,100,3.24,overcast clouds
154,Havoysund,NO,70.9963,24.6622,44.83,80,76,13.04,broken clouds
155,Lincoln,US,40.8,-96.667,78.71,35,0,14.97,clear sky
156,Coron,PH,11.9986,120.2043,76.93,87,97,2.71,moderate rain
157,Katherine,AU,-14.4667,132.2667,77.32,61,14,8.05,few clouds
158,Touros,BR,-5.1989,-35.4608,77.09,74,73,14.58,broken clouds
159,Gizo,SB,-8.103,156.8419,83.05,70,9,10.42,clear sky
160,Gobabis,NA,-22.45,18.9667,69.51,26,4,12.06,clear sky
161,Kruisfontein,ZA,-34.0033,24.7314,62.89,89,100,9.98,overcast clouds
162,Isangel,VU,-19.55,169.2667,78.8,61,99,10.58,overcast clouds
163,Bredasdorp,ZA,-34.5322,20.0403,55.0,96,100,4.34,overcast clouds
164,Itarema,BR,-2.9248,-39.9167,77.97,79,68,15.32,broken clouds
165,Yellowknife,CA,62.456,-114.3525,45.12,70,75,10.36,broken clouds
166,Thongwa,MM,16.7619,96.5278,77.16,97,100,6.93,light rain
167,Price,US,39.5994,-110.8107,72.66,49,0,12.66,clear sky
168,Boguchany,RU,58.3814,97.4531,27.75,96,97,5.06,overcast clouds
169,Olafsvik,IS,64.8945,-23.7142,47.61,89,100,21.52,overcast clouds
170,Singaraja,ID,-8.112,115.0882,79.2,80,100,3.02,overcast clouds
171,Bathsheba,BB,13.2167,-59.5167,74.01,88,75,6.91,broken clouds
172,Mpika,ZM,-11.8343,31.4529,62.44,41,14,7.0,few clouds
173,Antalaha,MG,-14.9003,50.2788,64.58,83,0,7.11,clear sky
174,General Roca,AR,-39.0333,-67.5833,74.62,28,0,22.12,clear sky
175,Hay River,CA,60.8156,-115.7999,49.98,53,75,9.22,broken clouds
176,Umea,SE,63.8284,20.2597,42.73,93,75,4.61,light rain
177,Winslow,US,35.0242,-110.6974,82.58,16,0,4.45,clear sky
178,Talara,PE,-4.5772,-81.2719,68.76,73,0,19.57,clear sky
179,Rudnichnyy,RU,59.617,52.4703,33.28,78,100,9.4,overcast clouds
180,Tura,IN,25.5198,90.2201,73.27,95,38,4.03,scattered clouds
181,Yar-Sale,RU,66.8333,70.8333,32.32,69,100,3.71,overcast clouds
182,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,75,16.11,broken clouds
183,Karratha,AU,-20.7377,116.8463,70.48,75,2,9.46,clear sky
184,Izhma,RU,65.0083,53.9113,29.17,69,5,7.9,clear sky
185,Saint-Louis,SN,16.3333,-15.0,89.24,47,100,10.89,overcast clouds
186,Piacabucu,BR,-10.4056,-36.4344,73.63,80,49,7.96,scattered clouds
187,Ancud,CL,-41.8697,-73.8203,51.13,87,100,5.17,overcast clouds
188,Half Moon Bay,US,37.4636,-122.4286,87.58,65,0,14.97,haze
189,Necochea,AR,-38.5473,-58.7368,55.8,49,100,12.8,overcast clouds
190,Airai,TL,-8.9266,125.4092,62.02,89,44,0.85,scattered clouds
191,Caravelas,BR,-17.7125,-39.2481,73.94,87,17,7.9,few clouds
192,Ulladulla,AU,-35.35,150.4667,56.3,80,41,13.96,scattered clouds
193,Cayenne,GF,4.9333,-52.3333,82.44,78,9,5.75,clear sky
194,Beloslav,BG,43.1833,27.7,67.42,97,7,3.44,clear sky
195,North Myrtle Beach,US,33.816,-78.68,67.21,80,100,26.46,moderate rain
