City ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
462,Kati,ML,76.41,overcast clouds,12.7441,-8.0726,Lingot d’or
471,Anori,BR,89.33,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
472,Buala,SB,84.43,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
474,Morwa,IN,75.18,clear sky,22.9,73.8333,mahakali maa hotel
478,Macapa,BR,85.98,scattered clouds,0.0389,-51.0664,Atalanta Hotel
481,Road Town,VG,78.84,heavy intensity rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
483,Conakry,GN,78.87,broken clouds,9.538,-13.6773,Riviera Royal Hotel
485,Eureka,US,76.68,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
496,Ati,TD,81.39,clear sky,13.2154,18.3353,
503,Nouadhibou,MR,76.98,scattered clouds,20.931,-17.0347,El Medina
504,Ugoofaaru,MV,80.15,moderate rain,5.6667,73.0,Ungoofaaru Inn
508,Ojinaga,MX,85.15,clear sky,29.5667,-104.4167,Suites Las Palmas
509,Hambantota,LK,79.18,overcast clouds,6.1241,81.1185,Bungalow 63
511,Safaga,EG,88.12,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
512,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
515,Elk City,US,84.42,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
517,Gewane,ET,81.54,light rain,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
519,Morros,BR,85.68,clear sky,-9.4467,-46.3003,
525,Nalut,LY,80.11,clear sky,30.3333,10.85,
530,Haapiti,PF,83.93,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
538,Port Blair,IN,77.04,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
542,Puerto Escondido,MX,82.53,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
543,Nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
550,Palasa,IN,78.33,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
551,Nueva Loja,EC,89.62,few clouds,0.0847,-76.8828,Limoncocha Great Hotel
552,Loiza,PR,81.63,broken clouds,18.4313,-65.8802,Vacation Realty
554,Nechi,CO,77.23,broken clouds,8.0942,-74.7757,Ivan Villadiego guerra
559,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
561,Benghazi,LY,81.32,overcast clouds,32.1167,20.0667,Tibesti Hotel
564,Hue,VN,78.91,scattered clouds,16.4667,107.6,Saigon Morin Hotel
566,Rodrigues Alves,BR,79.0,moderate rain,-7.738,-72.6509,Pousada Aconchego
567,Urucara,BR,88.25,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
569,Harper,LR,75.96,broken clouds,4.375,-7.7169,Screensaver
575,Natchitoches,US,77.85,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
577,Pacific Grove,US,80.55,clear sky,36.6177,-121.9166,Lovers Point Inn
580,Ukiah,US,88.43,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
582,Tukrah,LY,80.55,overcast clouds,32.5341,20.5791,Lagrota restaurant
584,Ios,GR,75.11,clear sky,36.7333,25.2833,Ios Palace Hotel & Spa
587,Santo Antonio Do Ica,BR,79.38,broken clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
588,Kita,ML,75.4,light rain,13.0349,-9.4895,Hôtel Chat Rouge
591,Galle,LK,79.23,overcast clouds,6.0367,80.217,Amangalla
592,Nanakuli,US,86.11,overcast clouds,21.3906,-158.1547,Camp Pālehua
598,Pizarro,CO,77.49,light rain,4.9533,-77.366,Hotel Limonar
603,Carmen,MX,80.65,scattered clouds,18.6333,-91.8333,Hotel Lossandes
606,Islamkot,PK,79.81,broken clouds,24.6997,70.177,Pizza point islamkot
609,Tuburan,PH,77.09,moderate rain,6.6439,122.2736,GT Site
617,Kavaratti,IN,80.85,overcast clouds,10.5669,72.642,Green leaf
620,Lorengau,PG,81.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
625,Ahuimanu,US,85.86,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
626,Alto Araguaia,BR,77.45,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
627,Makakilo City,US,84.69,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
633,Unjha,IN,77.52,scattered clouds,23.8,72.4,Shri Umiya Mataji Guest House Unjha
634,Caninde,BR,78.71,broken clouds,-4.3589,-39.3117,Hotel Casa Grande II
636,Rosarito,MX,82.42,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
637,Vung Tau,VN,79.52,light rain,10.346,107.0843,Seaside Resort
645,Palmas Bellas,PA,81.34,scattered clouds,9.2319,-80.0867,Antigua Residencia Galván
646,Sikar,IN,77.5,clear sky,27.6167,75.15,Gayatri Girls Hostel
652,Beni Mazar,EG,86.14,clear sky,28.4962,30.8029,Link Co-Working space & Development center
660,Bac Lieu,VN,78.03,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
664,Kupang,ID,80.8,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
665,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Pousada Camboinha
666,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
675,Uchiza,PE,77.97,scattered clouds,-8.4592,-76.4633,Hotel San Pedro
683,Show Low,US,75.49,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
685,Tabas,IR,79.23,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
687,Sulangan,PH,80.83,moderate rain,11.1373,123.7228,Maia's Beach Resort
689,Guerrero Negro,MX,79.83,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
695,Dwarka,IN,79.57,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
697,Rapid Valley,US,89.6,broken clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
699,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
